256, 1.6338, 489648, 1, 0, 25, 2560, 487062, 91, 91, 684, -4145.11, [, [, [[
257, 1.6478, 485504, 4, 17, 25, 2567, 482891, 93, 93, 684, -4136.84, ], ], ]]
258, 1.6619, 481368, 4, 33, 25, 2573, 478733, 116, 104, 1335, -2256.90, t, h, th
259, 1.6698, 479110, 5, 49, 25, 2576, 476455, 99, 104, 673, -1864.99, c, h, ch
260, 1.6763, 477245, 5, 65, 25, 2582, 474568, 44, 32, 675, -1840.58, \,,  , \, 
261, 1.6828, 475405, 5, 81, 25, 2588, 472706, 62, 10, 302, -1710.08, >, \n, >\n
262, 1.6889, 473694, 5, 97, 25, 2595, 470972, 258, 101, 812, -1686.57, th, e, the
263, 1.6949, 472008, 8, 113, 25, 2601, 469261, 38, 113, 192, -1436.10, &, q, &q
264, 1.7001, 470571, 8, 129, 25, 2608, 467801, 32, 262, 664, -1366.16,  , the,  the
265, 1.7050, 469205, 8, 145, 25, 2614, 466413, 39, 39, 228, -1296.40, \', \', \'\'
266, 1.7097, 467909, 8, 161, 25, 2622, 465093, 60, 47, 225, -1231.15, <, /, </
267, 1.7142, 466677, 8, 177, 25, 2629, 463838, 114, 259, 427, -1224.14, r, ch, rch
268, 1.7188, 465453, 8, 193, 25, 2636, 462591, 97, 267, 420, -1588.08, a, rch, arch
269, 1.7246, 463866, 8, 210, 25, 2643, 460980, 110, 268, 396, -1494.98, n, arch, narch
270, 1.7302, 462371, 8, 226, 25, 2649, 459463, 105, 115, 1355, -1097.34, i, s, is
271, 1.7343, 461273, 9, 242, 25, 2652, 458345, 269, 270, 313, -1642.95, narch, is, narchis
272, 1.7405, 459630, 9, 258, 25, 2659, 456679, 105, 110, 1252, -1384.21, i, n, in
273, 1.7458, 458246, 9, 274, 25, 2662, 455276, 116, 59, 346, -1054.00, t, ;, t;
274, 1.7498, 457192, 9, 290, 25, 2669, 454199, 272, 103, 334, -1030.80, in, g, ing
275, 1.7538, 456162, 9, 307, 25, 2676, 453145, 263, 117, 192, -1022.83, &q, u, &qu
276, 1.7577, 455139, 9, 323, 25, 2683, 452099, 97, 110, 1021, -974.11, a, n, an
277, 1.7615, 454164, 9, 339, 25, 2687, 451104, 111, 110, 970, -1459.16, o, n, on
278, 1.7672, 452705, 9, 355, 25, 2691, 449625, 105, 277, 475, -1198.20, i, on, ion
279, 1.7718, 451508, 9, 372, 25, 2697, 448405, 116, 278, 369, -1131.76, t, ion, tion
